race,sex,age,age_cat,decile_score,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,length_of_stay,two_year_recid
0,1,31,1,7,0,0,0,1,-1.0,1,0,1,1,0
1,1,31,1,10,0,0,0,13,-1.0,0,1,2,471,1
0,1,27,1,9,0,0,0,3,-1.0,0,1,2,0,1
1,1,52,2,9,0,0,0,3,-2.0,1,0,2,0,0
0,1,33,1,10,0,0,0,19,-1.0,0,1,2,0,1
1,1,42,1,3,0,0,0,6,-4.0,0,0,0,-1,0
1,0,25,1,4,0,0,0,2,-1.0,0,0,0,3,0
1,1,30,1,2,0,0,0,1,-20.0,1,0,0,3,0
1,1,28,1,2,0,0,0,0,-1.0,1,1,0,0,1
0,0,24,0,2,0,0,0,0,-1.0,1,0,0,2,0
1,0,29,1,4,0,1,0,10,-1.0,0,1,0,7,1
1,1,44,1,2,0,0,0,2,0.0,1,1,0,-1,1
0,1,32,1,7,0,0,0,3,-1.0,0,1,1,8,1
1,1,31,1,3,0,0,0,2,-16.0,1,1,0,15,1
0,1,31,1,2,0,0,0,1,-1.0,1,1,0,1,0
1,1,59,2,2,0,0,0,1,-1.0,0,1,0,0,1
0,0,20,0,10,1,0,0,1,0.0,0,0,2,2,0
1,0,43,1,1,0,0,0,0,0.0,1,0,0,0,0
0,1,38,1,8,1,1,0,9,-1.0,0,1,2,13,1
0,1,32,1,6,0,0,0,11,-2.0,0,1,1,1,1
0,1,33,1,5,0,0,0,8,-1.0,1,1,1,0,1
0,0,31,1,3,0,0,0,0,-1.0,0,1,0,1,1
0,0,33,1,9,0,0,0,7,-1.0,0,1,2,26,1
0,1,27,1,9,0,0,0,2,-1.0,0,1,2,1,1
0,0,20,0,6,0,0,0,0,0.0,0,0,1,0,0
1,0,26,1,6,0,0,0,0,-2.0,1,0,1,0,0
0,0,61,2,1,0,0,0,1,-1.0,0,1,0,0,1
0,0,32,1,10,0,0,0,4,-7.0,0,1,2,6,1
0,0,26,1,4,0,0,0,2,-1.0,1,1,0,0,1
1,1,39,1,4,1,0,0,1,-1.0,1,0,0,3,0
1,0,30,1,7,0,0,0,3,0.0,0,1,1,530,1
0,1,30,1,7,0,0,0,1,0.0,0,0,1,70,0
1,1,48,2,2,0,0,0,2,-1.0,1,0,0,0,0
0,1,22,0,2,0,0,0,1,-1.0,0,0,0,0,0
1,1,46,2,1,0,0,0,6,22.0,0,1,0,22,1
1,1,31,1,5,0,0,0,0,0.0,0,0,1,2,0
0,1,25,1,2,0,0,0,1,-1.0,1,1,0,1,1
0,0,32,1,7,0,0,0,5,-1.0,0,0,1,1,0
0,1,62,2,4,0,0,0,8,0.0,0,0,0,15,0
0,1,28,1,6,0,0,0,6,-1.0,1,1,1,0,1
1,1,78,2,1,0,0,0,1,-1.0,1,1,0,0,1
1,1,56,2,1,0,0,0,0,-1.0,0,0,0,1,0
0,1,22,0,5,0,0,0,1,0.0,0,1,1,0,1
0,1,47,2,8,0,0,0,23,-1.0,1,1,2,0,1
0,1,23,0,2,0,0,0,0,-1.0,1,1,0,1,1
0,1,66,2,1,0,0,0,3,-10.0,0,1,0,2,0
1,1,45,2,4,0,0,0,8,0.0,1,1,0,71,1
0,1,37,1,9,0,0,0,2,0.0,1,1,2,0,1
1,1,39,1,4,0,0,0,0,0.0,0,1,0,0,1
0,1,26,1,9,0,0,0,9,0.0,0,1,2,79,1
1,1,45,2,3,0,0,0,2,-1.0,0,0,0,358,0
0,1,23,0,3,0,0,0,0,-1.0,0,1,0,0,1
0,1,34,1,2,0,0,0,2,0.0,1,1,0,25,0
0,0,23,0,4,0,0,0,1,-1.0,1,0,0,0,0
1,1,50,2,1,0,0,0,1,-4.0,0,0,0,1,0
1,0,37,1,3,0,0,0,0,-1.0,1,0,0,0,0
1,1,44,1,4,0,0,0,4,0.0,1,0,0,1,0
0,0,35,1,9,0,1,0,23,-1.0,0,1,2,2,1
0,1,26,1,10,0,0,0,2,-1.0,0,1,2,1,1
0,1,27,1,2,0,0,0,0,-1.0,1,0,0,2,0
0,0,28,1,8,0,0,0,0,0.0,0,0,2,29,0
1,0,28,1,9,0,0,0,7,-1.0,0,1,2,1,1
0,1,38,1,1,0,0,0,2,-1.0,0,0,0,1,0
0,0,28,1,9,0,0,0,1,-1.0,0,0,2,38,0
1,1,56,2,1,0,0,0,7,-1.0,0,1,0,0,1
0,1,38,1,9,0,0,0,15,-1.0,0,0,2,1,0
0,1,28,1,5,0,0,0,2,-1.0,1,0,1,0,0
1,0,51,2,1,0,0,0,0,-1.0,1,1,0,0,1
1,1,51,2,2,0,0,0,0,-1.0,1,0,0,0,0
0,1,48,2,1,0,0,0,0,-1.0,0,0,0,1,0
1,1,37,1,3,0,0,0,4,0.0,0,1,0,1,1
0,0,30,1,7,0,0,0,2,-1.0,0,0,1,2,0
0,0,41,1,6,0,0,0,5,0.0,1,0,1,0,0
0,1,27,1,10,0,0,0,11,-1.0,0,1,2,223,1
0,1,37,1,1,0,0,0,0,-1.0,1,1,0,1,0
0,1,54,2,9,0,0,0,11,-1.0,0,0,2,129,0
0,1,23,0,9,0,0,0,2,-1.0,0,0,2,71,0
0,1,41,1,1,0,0,0,0,0.0,1,0,0,0,0
1,1,52,2,1,0,0,0,0,-1.0,0,0,0,0,0
1,1,43,1,4,0,0,0,13,0.0,0,1,0,51,1
0,1,52,2,4,0,0,0,0,-1.0,0,0,0,13,0
1,1,28,1,1,0,0,0,1,-3.0,0,0,0,3,0
0,1,30,1,9,0,0,2,11,-1.0,1,1,2,1,1
1,1,28,1,5,0,0,0,1,0.0,0,0,1,6,0
0,1,22,0,4,0,0,0,0,-1.0,0,0,0,0,0
0,1,30,1,2,0,0,0,4,0.0,0,0,0,-1,0
1,1,31,1,8,0,0,0,0,-1.0,0,1,2,30,1
1,1,37,1,2,0,0,0,0,-1.0,0,1,0,35,1
0,1,32,1,9,0,1,0,14,-1.0,0,0,2,1,0
1,1,53,2,1,0,0,0,1,-1.0,1,0,0,1,0
0,1,28,1,8,0,0,0,25,29.0,0,1,2,25,1
1,1,44,1,5,0,0,0,8,-1.0,1,1,1,4,1
0,1,25,1,3,0,0,0,0,0.0,0,0,0,0,0
1,1,22,0,8,0,0,1,1,0.0,1,1,2,5,1
1,0,23,0,5,0,0,4,5,-1.0,0,1,1,0,1
0,1,29,1,3,0,0,0,1,-1.0,1,0,0,0,0
0,1,20,0,8,0,0,0,1,-1.0,0,1,2,1,1
0,1,30,1,6,0,0,0,2,-1.0,0,1,1,1,1
0,1,27,1,4,0,0,0,4,-1.0,0,0,0,0,0
0,0,37,1,1,0,0,0,2,0.0,0,0,0,0,0
0,1,20,0,8,0,0,0,0,-1.0,0,0,2,2,0
0,0,52,2,1,0,0,0,0,-1.0,0,0,0,0,0
0,0,23,0,4,0,0,0,0,-1.0,0,1,0,3,1
0,0,48,2,2,0,0,0,0,-1.0,0,0,0,1,0
1,1,25,1,5,0,0,0,0,0.0,0,0,1,0,0
1,1,27,1,6,0,0,0,0,-1.0,0,1,1,1,1
0,1,30,1,7,0,0,0,11,0.0,0,1,1,1,1
0,1,22,0,10,0,1,1,3,-1.0,1,1,2,1,1
1,0,22,0,3,0,0,0,1,-1.0,0,0,0,0,0
0,0,41,1,3,0,0,0,2,-1.0,1,0,0,0,0
0,1,52,2,6,0,0,0,3,0.0,0,1,1,24,1
0,1,43,1,1,0,0,0,0,-1.0,0,0,0,41,0
1,1,37,1,1,0,0,0,3,-4.0,0,0,0,2,0
1,1,70,2,1,0,0,0,1,-13.0,1,0,0,12,0
1,1,46,2,4,0,0,0,3,-1.0,0,0,0,14,0
0,1,21,0,9,0,0,0,0,-1.0,1,1,2,1,1
0,1,26,1,8,0,0,0,1,-1.0,1,1,2,1,1
1,1,34,1,4,0,0,0,5,-1.0,1,0,0,1,0
0,1,34,1,4,0,0,0,5,-1.0,1,0,0,0,0
1,1,23,0,5,0,0,0,0,0.0,0,1,1,0,1
0,1,34,1,4,0,0,0,5,-1.0,0,1,0,2,1
0,1,39,1,3,0,0,0,6,-1.0,0,1,0,2,1
1,1,58,2,3,0,0,0,2,-1.0,0,0,0,1,0
0,0,21,0,6,0,0,0,0,0.0,1,0,1,0,0
0,1,23,0,8,0,0,1,4,-11.0,1,1,2,11,1
1,1,62,2,1,0,0,0,0,0.0,0,0,0,1,0
1,1,37,1,3,0,0,0,5,-1.0,0,0,0,10,0
0,0,32,1,1,0,0,0,5,0.0,0,0,0,-1,0
0,1,27,1,1,0,0,0,0,0.0,1,0,0,0,0
1,1,44,1,1,0,0,0,0,-1.0,1,1,0,1,1
1,1,28,1,3,0,0,0,3,-1.0,1,1,0,0,1
1,0,42,1,2,0,0,0,0,-3.0,0,0,0,1,0
0,1,27,1,2,0,0,0,0,0.0,0,0,0,17,0
0,1,20,0,10,0,0,0,0,-1.0,0,1,2,0,1
1,0,51,2,1,0,0,0,0,0.0,1,0,0,1,0
1,1,56,2,1,0,0,0,0,0.0,1,0,0,1,0
0,1,29,1,9,0,0,0,7,-1.0,0,0,2,1,0
0,1,20,0,9,0,0,0,0,-1.0,0,1,2,209,1
1,1,27,1,5,0,0,0,8,-1.0,0,0,1,68,0
0,1,24,0,9,0,1,0,2,-1.0,0,1,2,19,1
1,1,53,2,6,0,0,0,36,-7.0,0,1,1,32,1
1,1,28,1,3,0,0,0,2,0.0,1,1,0,1,1
0,0,36,1,7,0,0,0,0,-1.0,0,0,1,12,0
1,0,25,1,4,0,0,0,2,-2.0,1,1,0,1,1
1,1,28,1,5,0,0,0,1,-4.0,0,0,1,1,0
0,0,21,0,8,0,0,0,0,-1.0,0,1,2,1,1
1,1,36,1,3,0,0,0,0,-1.0,1,0,0,0,0
0,1,24,0,3,0,0,0,0,-1.0,0,0,0,0,0
0,1,29,1,1,0,0,0,0,-1.0,0,0,0,1,0
1,0,30,1,6,0,0,0,0,0.0,1,0,1,3,0
0,1,32,1,9,0,1,0,12,-1.0,0,1,2,1,1
0,1,23,0,6,0,0,1,1,0.0,0,0,1,1,0
0,1,47,2,3,0,0,0,3,0.0,0,0,0,0,0
1,1,37,1,1,0,0,0,0,-1.0,0,0,0,19,0
0,1,19,0,10,0,2,0,2,-1.0,0,1,2,1,1
1,0,21,0,6,0,0,2,0,0.0,0,0,1,0,0
1,1,69,2,1,0,0,0,0,-1.0,1,0,0,0,0
1,1,21,0,6,0,0,0,2,-1.0,0,0,1,2,0
0,1,26,1,10,0,0,1,6,0.0,1,1,2,3,1
1,1,22,0,4,0,0,0,0,-2.0,0,0,0,0,0
0,0,23,0,5,0,0,0,0,-1.0,0,1,1,0,1
0,1,49,2,5,0,0,0,3,0.0,0,0,1,3,0
0,1,29,1,4,0,0,1,2,-1.0,1,1,0,50,0
1,0,60,2,1,0,0,0,0,-1.0,1,0,0,0,0
0,1,23,0,10,2,0,0,3,0.0,0,1,2,0,1
1,1,30,1,4,0,0,0,0,0.0,0,0,0,1,0
0,1,21,0,3,0,1,0,1,-1.0,0,1,0,-1,0
1,1,22,0,6,0,0,0,2,-1.0,1,1,1,0,1
0,1,21,0,9,0,0,0,4,-1.0,0,1,2,219,1
0,1,21,0,5,0,0,0,0,-1.0,0,1,1,12,1
1,1,34,1,1,0,0,0,1,0.0,1,0,0,0,0
1,0,50,2,1,0,0,0,1,-1.0,1,1,0,0,1
1,1,40,1,7,0,0,0,0,-1.0,0,1,1,8,1
0,1,25,1,8,0,0,0,7,-1.0,0,1,2,127,1
1,0,53,2,1,0,0,0,1,-1.0,1,0,0,0,0
0,0,24,0,4,0,0,0,0,-1.0,0,0,0,1,0
0,1,42,1,1,0,0,0,1,-12.0,0,0,0,4,0
0,1,28,1,3,0,0,0,1,-1.0,1,0,0,1,0
0,1,26,1,8,1,1,0,6,-1.0,0,1,2,1,1
0,1,22,0,9,0,0,0,4,-1.0,0,1,2,260,1
1,1,21,0,7,0,0,0,3,-8.0,1,0,1,5,0
0,1,37,1,9,0,0,0,23,-1.0,0,1,2,17,1
0,1,35,1,5,0,0,0,2,-1.0,0,0,1,5,0
0,1,53,2,1,0,0,0,2,-1.0,0,0,0,0,0
0,1,29,1,4,0,0,0,7,-1.0,0,1,0,1,0
1,1,48,2,8,1,0,0,23,-1.0,0,1,2,360,1
1,0,52,2,1,0,0,0,0,0.0,1,0,0,0,0
0,1,27,1,8,0,0,0,12,-1.0,0,1,2,31,1
0,1,28,1,9,0,0,0,5,0.0,0,1,2,51,0
1,1,33,1,3,0,0,0,3,0.0,1,0,0,0,0
0,1,36,1,7,0,0,0,14,-1.0,0,1,1,0,1
0,1,29,1,5,1,0,0,2,-1.0,0,0,1,1,0
0,1,22,0,9,0,0,1,0,0.0,1,1,2,21,1
1,1,25,1,2,0,0,0,0,0.0,0,0,0,0,0
0,1,56,2,3,0,0,0,5,-1.0,0,0,0,12,0
0,1,27,1,8,0,0,0,9,-1.0,0,1,2,52,1
1,1,52,2,1,0,0,0,4,-1.0,0,1,0,7,1
0,1,32,1,2,0,0,0,3,0.0,0,0,0,1,0
1,0,39,1,6,0,0,0,0,-2.0,1,0,1,0,0
1,1,56,2,1,0,0,0,0,-1.0,1,0,0,0,0
0,0,22,0,7,0,0,0,0,0.0,0,0,1,0,0
0,1,53,2,6,0,0,0,11,-1.0,0,0,1,110,0
1,1,25,1,2,0,0,0,0,0.0,1,1,0,0,1
1,1,22,0,3,0,0,0,0,-1.0,0,0,0,1,0
1,0,58,2,1,0,0,0,2,-23.0,1,0,0,1,0
0,1,31,1,3,0,0,0,7,0.0,1,1,0,1,1
1,1,22,0,5,0,0,0,1,-1.0,0,1,1,0,1
0,1,28,1,6,0,0,0,8,-1.0,0,1,1,3,1
0,1,20,0,7,0,0,0,0,0.0,0,1,1,0,1
1,1,29,1,6,0,0,0,0,0.0,1,1,1,5,1
0,1,58,2,7,0,0,0,21,-1.0,1,1,1,59,1
0,1,22,0,7,0,0,0,3,-1.0,0,0,1,106,0
1,1,37,1,4,0,0,0,0,0.0,0,0,0,0,0
0,1,57,2,5,0,0,0,1,-1.0,0,1,1,25,1
1,1,27,1,1,0,0,0,3,-22.0,1,0,0,-1,0
0,1,26,1,4,0,0,0,3,0.0,0,0,0,33,0
1,1,24,0,8,0,1,1,3,0.0,0,1,2,0,1
1,1,33,1,1,0,0,0,0,-1.0,0,0,0,1,0
0,1,29,1,6,0,0,0,2,-1.0,0,0,1,0,0
0,0,24,0,10,0,0,0,3,-1.0,0,1,2,1,1
1,1,19,0,10,0,0,1,1,-1.0,0,1,2,32,1
1,1,36,1,1,0,0,0,2,-1.0,1,0,0,0,0
1,0,24,0,5,0,0,0,0,0.0,0,0,1,0,0
1,1,34,1,1,0,0,0,0,0.0,1,0,0,0,0
0,1,20,0,10,1,0,1,1,-1.0,0,1,2,1,1
0,1,24,0,2,0,0,0,1,-1.0,1,1,0,1,1
1,1,61,2,1,0,0,0,4,-1.0,0,0,0,1,0
0,0,50,2,2,0,0,0,3,0.0,0,0,0,-1,0
0,1,30,1,1,0,0,0,1,0.0,1,0,0,4,0
0,1,38,1,3,0,0,0,5,-1.0,0,0,0,1,0
1,1,24,0,1,0,0,0,0,-1.0,1,0,0,0,0
0,0,46,2,10,0,0,0,2,-1.0,0,1,2,9,1
1,1,41,1,1,0,0,0,0,-1.0,1,1,0,3,1
0,1,27,1,8,0,0,0,13,-1.0,1,1,2,1,1
0,1,26,1,6,0,0,0,1,-1.0,1,1,1,13,1
0,1,29,1,5,0,0,0,3,0.0,0,1,1,1,1
1,1,52,2,5,0,0,0,6,-1.0,0,1,1,1,1
1,1,28,1,4,0,0,0,1,0.0,0,1,0,4,1
0,1,55,2,3,0,0,0,5,-1.0,0,1,0,118,1
0,1,26,1,9,1,1,0,10,-1.0,0,1,2,0,1
0,1,28,1,10,0,0,0,5,-1.0,0,0,2,1,0
1,1,63,2,1,0,0,0,2,-3.0,0,0,0,3,0
0,1,42,1,1,0,0,0,0,0.0,0,0,0,1,0
0,1,23,0,6,1,2,2,6,-1.0,0,1,1,0,0
0,1,54,2,9,0,0,0,28,-1.0,0,1,2,5,1
0,1,35,1,7,0,0,1,8,-1.0,0,1,1,10,1
0,0,24,0,9,1,0,0,6,-1.0,0,1,2,26,1
0,1,54,2,1,0,0,0,2,-26.0,1,0,0,0,0
0,1,58,2,6,0,0,0,12,-1.0,1,1,1,3,1
1,1,23,0,5,0,0,1,1,0.0,1,1,1,0,1
0,1,35,1,2,0,0,0,1,-1.0,1,0,0,0,0
0,1,20,0,10,0,0,0,1,0.0,0,1,2,2,1
1,1,51,2,1,0,0,0,0,0.0,0,0,0,35,0
1,1,37,1,2,0,0,0,3,-14.0,0,0,0,6,0
1,1,47,2,1,0,0,0,3,-1.0,0,0,0,0,0
1,1,34,1,6,0,0,0,4,-1.0,0,1,1,1,1
1,1,56,2,1,0,0,0,0,-2.0,0,0,0,0,0
1,1,59,2,1,0,0,0,1,-2.0,0,1,0,0,1
1,0,24,0,9,0,0,1,6,0.0,0,1,2,3,1
1,1,21,0,9,0,0,4,2,-1.0,1,1,2,8,1
0,1,26,1,2,0,0,0,1,-1.0,0,0,0,1,0
1,0,30,1,2,0,0,0,0,-1.0,1,0,0,1,0
1,1,29,1,4,0,0,0,0,0.0,1,1,0,1,1
0,1,54,2,1,0,0,0,0,-1.0,1,0,0,1,0
0,1,29,1,4,0,0,0,4,-1.0,0,1,0,8,1
1,0,59,2,1,0,0,0,0,-2.0,1,0,0,0,0
0,1,38,1,5,0,0,0,0,0.0,0,0,1,1,0
1,1,27,1,3,0,0,0,1,-1.0,1,1,0,1,1
0,1,66,2,6,0,0,0,33,0.0,0,1,1,13,1
1,1,27,1,5,0,0,0,2,0.0,0,0,1,0,0
1,1,51,2,1,0,0,0,1,-1.0,1,0,0,1,0
1,1,35,1,2,0,0,0,1,0.0,0,0,0,74,0
1,1,52,2,3,0,0,0,4,-1.0,1,0,0,0,0
0,0,26,1,2,0,0,0,0,-1.0,1,0,0,1,0
1,0,48,2,1,0,0,0,0,0.0,1,0,0,0,0
0,1,33,1,3,0,0,0,2,0.0,1,0,0,0,0
0,0,34,1,4,0,0,0,6,-1.0,0,0,0,52,0
0,1,59,2,7,0,0,0,10,-1.0,0,1,1,127,1
0,1,29,1,5,0,0,0,5,-1.0,0,1,1,2,1
1,1,24,0,2,0,0,0,0,0.0,0,0,0,1,0
1,1,48,2,7,0,0,0,1,-1.0,0,1,1,129,1
0,1,52,2,5,0,0,0,4,0.0,1,0,1,1,0
0,1,20,0,4,0,0,0,0,0.0,0,1,0,0,1
1,1,25,1,4,0,0,0,4,-5.0,0,1,0,5,1
1,1,24,0,2,0,0,0,0,-1.0,0,0,0,15,0
1,1,23,0,9,0,0,0,0,-1.0,1,0,2,1,0
1,1,27,1,4,0,1,3,6,-1.0,0,1,0,1,0
0,1,25,1,3,0,1,0,1,-1.0,1,1,0,0,1
0,1,31,1,2,0,0,0,0,-1.0,0,0,0,0,0
0,1,25,1,4,0,1,0,6,-1.0,0,1,0,4,1
1,1,32,1,1,0,0,0,1,-7.0,0,1,0,0,1
1,1,21,0,3,0,0,0,0,-1.0,0,1,0,-1,1
1,1,25,1,3,0,0,0,0,0.0,0,0,0,0,0
0,1,35,1,7,0,0,0,0,-1.0,0,0,1,2,0
0,1,42,1,7,0,0,0,14,-1.0,0,1,1,1,1
1,1,24,0,10,0,0,1,9,-23.0,1,1,2,10,1
1,1,47,2,1,0,0,0,1,0.0,1,0,0,0,0
0,1,27,1,9,0,0,0,5,-1.0,0,1,2,1,1
1,1,46,2,6,0,0,0,2,-1.0,0,1,1,0,1
0,1,44,1,3,0,0,0,1,0.0,1,0,0,0,0
1,1,23,0,2,0,0,0,2,-1.0,0,0,0,0,0
0,1,42,1,5,0,0,0,8,-1.0,0,0,1,1,0
0,1,58,2,6,0,0,0,6,-1.0,0,0,1,144,0
0,1,26,1,6,0,0,1,3,-1.0,0,1,1,1,0
0,1,39,1,3,0,0,0,3,-1.0,0,1,0,3,1
0,1,21,0,5,0,2,0,3,0.0,0,1,1,-1,1
1,1,63,2,1,0,0,0,1,-9.0,1,0,0,5,0
0,1,22,0,7,0,1,0,3,-11.0,0,1,1,7,1
0,1,50,2,3,0,0,0,3,-1.0,1,0,0,0,0
0,1,38,1,1,0,0,0,0,-1.0,0,0,0,9,0
1,1,41,1,6,0,0,0,1,-6.0,0,0,1,6,0
0,1,28,1,8,8,0,1,16,-1.0,0,1,2,1,1
0,0,30,1,3,0,0,0,0,0.0,1,0,0,1,0
0,1,23,0,5,0,0,0,1,0.0,0,0,1,0,0
1,1,25,1,4,0,0,0,2,-13.0,0,1,0,12,1
1,1,40,1,4,0,0,0,5,0.0,0,0,0,0,0
0,1,27,1,4,0,0,0,5,0.0,1,1,0,64,1
1,1,44,1,3,0,0,0,11,0.0,1,0,0,180,0
0,0,35,1,2,0,0,0,6,-1.0,0,1,0,1,1
1,1,42,1,1,0,0,0,0,0.0,1,0,0,0,0
0,1,38,1,7,0,0,0,15,0.0,0,1,1,0,0
0,0,25,1,3,0,0,0,0,-1.0,1,0,0,0,0
1,0,49,2,1,0,0,0,2,0.0,1,1,0,0,1
1,1,50,2,1,0,0,0,5,-1.0,0,1,0,1,1
1,1,66,2,1,0,0,0,0,0.0,1,1,0,0,1
1,0,46,2,1,0,0,0,0,-1.0,1,0,0,1,0
0,1,30,1,6,0,0,1,5,-1.0,0,1,1,1,1
1,0,22,0,3,0,0,0,0,0.0,1,0,0,-1,0
1,1,23,0,4,0,0,0,1,-1.0,1,0,0,9,0
0,1,25,1,3,0,0,0,0,-1.0,1,1,0,0,0
1,0,21,0,7,0,0,0,0,-1.0,0,0,1,2,0
0,1,27,1,2,0,0,0,0,-1.0,1,0,0,1,0
1,0,24,0,5,0,0,1,0,0.0,0,0,1,0,0
0,1,20,0,3,1,0,0,1,-1.0,0,0,0,0,0
0,1,31,1,8,0,0,0,3,-20.0,1,1,2,19,1
0,1,27,1,7,0,0,0,3,-1.0,1,1,1,6,1
0,1,40,1,2,0,0,0,0,-1.0,0,0,0,1,0
